HJD_UTC,flux,err,xshift,yshift,AM,FWHM,sky,exptime
9430.59505,0.994865,0.000915,-6.83,17.08,1.23,6.0,27.47,150.48
9430.596923,0.995497,0.000918,-6.91,17.1,1.23,6.59,27.55,149.88
9430.59879,0.996893,0.000918,-6.43,17.06,1.23,6.43,27.28,150.17
9430.600657,0.995458,0.000916,-6.8,17.52,1.22,6.64,26.77,149.95
9430.602524,0.9952,0.000914,-6.84,16.23,1.22,6.43,24.71,150.21
9430.604387,0.999237,0.00092,-7.06,15.29,1.22,6.52,26.34,149.39
9430.606252,0.9893,0.000905,-6.83,16.3,1.21,7.02,27.63,150.38
9430.608118,0.998469,0.000916,-6.58,15.94,1.21,6.9,24.77,150.05
9430.609978,0.996033,0.000917,-5.44,16.24,1.21,7.25,24.7,149.12
9430.611839,0.995566,0.000914,-6.1,15.57,1.21,7.1,24.68,150.08
9430.613706,0.995895,0.000912,-6.69,16.26,1.2,6.6,28.56,150.24
9430.615573,0.994704,0.000912,-6.28,15.9,1.2,6.86,28.93,150.2
9430.617525,0.995047,0.000915,-6.33,14.97,1.2,7.53,25.83,149.22
9430.619391,0.995565,0.000918,-6.82,15.86,1.2,9.1,26.05,150.08
9430.621252,0.997683,0.000922,-7.51,17.29,1.2,8.9,25.91,149.11
9430.623111,0.997389,0.000915,-7.39,18.07,1.19,8.39,26.14,150.09
9430.624977,0.997436,0.000916,-7.09,18.08,1.19,8.26,26.23,150.06
9430.626937,0.995082,0.000914,-5.98,15.88,1.19,8.37,26.61,149.9
9430.628798,0.997942,0.000922,-6.51,15.93,1.19,9.25,26.02,149.34
9430.630663,0.996609,0.000918,-6.88,15.6,1.19,8.61,25.94,149.55
9430.632525,0.995572,0.000912,-7.29,15.93,1.18,7.86,26.05,150.07
9430.634387,0.996974,0.000917,-6.79,16.79,1.18,8.89,26.4,149.54
9430.636344,0.996272,0.000915,-6.12,15.24,1.18,8.36,26.43,150.1
9430.638205,0.99563,0.000916,-5.84,15.51,1.18,8.37,25.91,149.53
9430.640081,0.996072,0.000918,-6.32,17.47,1.18,8.7,26.23,149.57
9430.641969,0.995993,0.000915,-7.39,16.46,1.18,8.72,25.82,150.29
9430.643925,0.996572,0.000919,-7.5,16.04,1.18,8.71,26.2,149.72
9430.645787,0.999176,0.000944,-8.41,16.45,1.18,8.05,26.67,149.62
9430.647649,0.997584,0.00092,-6.08,15.73,1.17,8.08,26.15,149.7
9430.649516,0.997974,0.000914,-5.83,16.12,1.17,8.3,26.44,150.07
9430.651388,0.99829,0.000915,-6.05,17.33,1.17,8.63,26.2,149.92
9430.653254,0.999057,0.000915,-6.17,17.8,1.17,8.44,26.38,150.15
9430.65512,0.99724,0.000912,-6.85,17.51,1.17,7.46,26.41,150.16
9430.657062,0.996874,0.000915,-6.87,16.55,1.17,8.07,26.59,149.14
9430.658929,0.994093,0.00091,-7.44,16.88,1.17,8.08,26.8,150.23
9430.660798,0.997588,0.000912,-6.84,17.23,1.17,7.29,26.68,150.15
9430.662664,0.997425,0.000913,-7.14,16.56,1.17,8.16,26.09,150.1
9430.664534,0.995817,0.00091,-6.92,14.31,1.17,7.78,26.51,150.18
9430.666403,0.995122,0.000913,-7.51,14.95,1.17,8.65,26.12,149.77
9430.668268,0.998298,0.000914,-6.5,15.58,1.17,7.99,26.17,150.15
9430.670136,0.999884,0.000916,-5.91,16.71,1.17,7.94,25.98,150.13
9430.672007,0.998586,0.000917,-6.31,17.9,1.17,8.63,26.43,149.7
9430.67396,0.99903,0.000919,-6.16,17.34,1.17,8.29,26.61,150.29
9430.690861,0.997871,0.000941,-6.09,16.06,1.18,8.87,28.92,150.28
9430.709528,0.996823,0.000928,-6.47,16.86,1.19,8.73,28.2,150.11
9430.71705,0.998466,0.000919,-7.36,16.12,1.2,7.1,29.11,149.49
9430.724611,0.999236,0.000924,-6.76,16.59,1.21,8.07,30.96,150.3
9430.726472,0.999908,0.000925,-7.36,16.72,1.21,7.96,31.22,149.3
9430.728333,1.00152,0.000923,-6.48,16.41,1.21,8.01,31.12,150.0
9430.730199,1.001298,0.000924,-7.71,16.54,1.22,8.09,30.71,150.38
9430.732073,1.003047,0.000928,-7.43,16.46,1.22,7.78,30.83,149.28
9430.733936,1.001763,0.000926,-7.06,16.76,1.22,8.05,31.24,150.03
9430.735807,1.003925,0.000931,-5.57,15.72,1.23,8.56,31.41,150.06
9430.737675,1.004541,0.000927,-5.6,15.78,1.23,7.9,31.58,150.46
9430.739619,1.005587,0.000943,-6.43,15.46,1.23,8.41,31.34,149.47
9430.741498,1.005186,0.000934,-6.52,15.5,1.24,8.03,31.75,149.78
9430.743367,1.006334,0.000933,-5.64,16.55,1.24,8.33,31.99,150.29
9430.745236,1.007272,0.000933,-5.28,16.43,1.24,8.24,32.31,150.37
9430.747109,1.005387,0.00094,-6.89,16.44,1.25,9.99,32.37,150.3
9430.749064,1.007069,0.000938,-6.25,16.62,1.25,9.07,33.27,150.42
9430.750928,1.005972,0.000941,-6.16,15.83,1.25,9.36,32.78,149.26
9430.752838,1.007087,0.000939,-8.06,15.49,1.26,8.89,33.02,150.48
9430.754725,1.006594,0.000941,-8.07,16.02,1.26,8.74,31.94,149.17
9430.756585,1.006678,0.00094,-6.8,16.79,1.27,8.49,31.85,150.08
9430.758453,1.008407,0.000943,-7.34,17.79,1.27,9.28,31.68,150.22
9430.760327,1.007469,0.000943,-6.4,18.01,1.28,8.68,31.88,150.24
9430.762194,1.011244,0.000947,-6.69,18.46,1.28,8.45,31.48,149.82
9430.764055,1.009005,0.000949,-6.6,16.22,1.28,9.15,31.68,149.27
9430.765937,1.012494,0.000969,-6.43,16.49,1.29,9.27,32.21,150.16
9430.769683,1.009516,0.000956,-6.73,16.96,1.3,8.94,32.61,150.08
9430.771552,1.009127,0.000952,-6.59,15.97,1.3,9.72,33.12,150.37
9430.77348,1.011407,0.000964,-7.23,16.04,1.31,8.89,33.71,150.18
9430.781044,1.009639,0.000962,-7.51,15.63,1.33,8.85,34.83,150.2
9430.78291,1.006944,0.000962,-7.11,16.04,1.34,9.67,35.13,150.18
9430.803639,1.006428,0.000981,-6.48,17.14,1.41,9.6,34.79,149.89
9430.805504,1.008892,0.000989,-6.17,17.91,1.42,10.93,34.88,150.03
9430.807365,1.008853,0.00099,-7.48,18.41,1.43,10.17,34.73,149.22
9430.809228,1.010364,0.000993,-8.01,15.73,1.44,10.29,35.27,150.18
